0,0;
0.01,-7.00049e-05;
0.02,-0.000240041;
0.03,-0.000510162;
0.04,-0.000880455;
0.05,-0.00135103;
0.06,-0.00192204;
0.07,-0.00259366;
0.08,-0.0033661;
0.09,-0.00423958;
0.1,-0.00521439;
0.11,-0.00629082;
0.12,-0.0074692;
0.13,-0.00874989;
0.14,-0.0101333;
0.15,-0.0116199;
0.16,-0.01321;
0.17,-0.0149043;
0.18,-0.0167031;
0.19,-0.0186072;
0.2,-0.0206171;
0.21,-0.0227334;
0.22,-0.0249568;
0.23,-0.027288;
0.24,-0.0297278;
0.25,-0.0322769;
0.26,-0.0349362;
0.27,-0.0377066;
0.28,-0.0405889;
0.29,-0.0435841;
0.3,-0.0466933;
0.31,-0.0499174;
0.32,-0.0532575;
0.33,-0.0567148;
0.34,-0.0602905;
0.35,-0.0639857;
0.36,-0.0678019;
0.37,-0.0717403;
0.38,-0.0758023;
0.39,-0.0799895;
0.4,-0.0843032;
0.41,-0.0887451;
0.42,-0.0933168;
0.43,-0.09802;
0.44,-0.102857;
0.45,-0.107828;
0.46,-0.112937;
0.47,-0.118185;
0.48,-0.123573;
0.49,-0.129106;
0.5,-0.134783;
0.51,-0.140609;
0.52,-0.146584;
0.53,-0.152713;
0.54,-0.158996;
0.55,-0.165438;
0.56,-0.172041;
0.57,-0.178807;
0.58,-0.185741;
0.59,-0.192845;
0.6,-0.200121;
0.61,-0.207575;
0.62,-0.21521;
0.63,-0.223028;
0.64,-0.231035;
0.65,-0.239233;
0.66,-0.247629;
0.67,-0.256225;
0.68,-0.265026;
0.69,-0.274038;
0.7,-0.283265;
0.71,-0.292713;
0.72,-0.302387;
0.73,-0.312292;
0.74,-0.322436;
0.75,-0.332824;
0.76,-0.343463;
0.77,-0.354359;
0.78,-0.365521;
0.79,-0.376955;
0.8,-0.388671;
0.81,-0.400675;
0.82,-0.412977;
0.83,-0.425587;
0.84,-0.438515;
0.85,-0.45177;
0.86,-0.465363;
0.87,-0.479307;
0.88,-0.493614;
0.89,-0.508296;
0.9,-0.523367;
0.91,-0.538842;
0.92,-0.554737;
0.93,-0.571067;
0.94,-0.58785;
0.95,-0.605106;
0.96,-0.622853;
0.97,-0.641113;
0.98,-0.65991;
0.99,-0.679266;
